01:00:52 [INF] (Synphony.<clinit>:83) --- Tue Feb 07 01:00:52 BRST 2012 - Synphony 0.0.1 - JRE 1.7.0_01 - Windows 7 6.1 x86 - Fuad
01:01:28 [INF] (Synphony.<clinit>:83) --- Tue Feb 07 01:01:28 BRST 2012 - Synphony 0.0.1 - JRE 1.7.0_01 - Windows 7 6.1 x86 - Fuad
01:03:08 [INF] (Synphony.<clinit>:83) --- Tue Feb 07 01:03:08 BRST 2012 - Synphony 0.0.1 - JRE 1.7.0_01 - Windows 7 6.1 x86 - Fuad
01:10:03 [INF] (Synphony.<clinit>:83) --- Tue Feb 07 01:10:03 BRST 2012 - Synphony 0.0.1 - JRE 1.7.0_01 - Windows 7 6.1 x86 - Fuad
01:11:19 [INF] (Synphony.<clinit>:83) --- Tue Feb 07 01:11:19 BRST 2012 - Synphony 0.0.1 - JRE 1.7.0_01 - Windows 7 6.1 x86 - Fuad
01:12:24 [INF] (Synphony.<clinit>:83) --- Tue Feb 07 01:12:24 BRST 2012 - Synphony 0.0.1 - JRE 1.7.0_01 - Windows 7 6.1 x86 - Fuad
01:12:42 [INF] (Synphony.<clinit>:83) --- Tue Feb 07 01:12:42 BRST 2012 - Synphony 0.0.1 - JRE 1.7.0_01 - Windows 7 6.1 x86 - Fuad
01:14:17 [INF] (Synphony.<clinit>:83) --- Tue Feb 07 01:14:17 BRST 2012 - Synphony 0.0.1 - JRE 1.7.0_01 - Windows 7 6.1 x86 - Fuad
01:14:39 [INF] (Synphony.<clinit>:83) --- Tue Feb 07 01:14:39 BRST 2012 - Synphony 0.0.1 - JRE 1.7.0_01 - Windows 7 6.1 x86 - Fuad
01:14:47 [INF] (Synphony.<clinit>:83) --- Tue Feb 07 01:14:47 BRST 2012 - Synphony 0.0.1 - JRE 1.7.0_01 - Windows 7 6.1 x86 - Fuad
01:14:58 [INF] (Synphony.<clinit>:83) --- Tue Feb 07 01:14:58 BRST 2012 - Synphony 0.0.1 - JRE 1.7.0_01 - Windows 7 6.1 x86 - Fuad
01:16:56 [INF] (Synphony.<clinit>:85) --- Tue Feb 07 01:16:56 BRST 2012 - Synphony 0.0.1 - JRE 1.7.0_01 - Windows 7 6.1 x86 - Fuad
01:17:23 [INF] (Synphony.<clinit>:85) --- Tue Feb 07 01:17:23 BRST 2012 - Synphony 0.0.1 - JRE 1.7.0_01 - Windows 7 6.1 x86 - Fuad
01:18:35 [INF] (Synphony.<clinit>:85) --- Tue Feb 07 01:18:35 BRST 2012 - Synphony 0.0.1 - JRE 1.7.0_01 - Windows 7 6.1 x86 - Fuad
01:21:08 [INF] (Synphony.<clinit>:85) --- Tue Feb 07 01:21:08 BRST 2012 - Synphony 0.0.1 - JRE 1.7.0_01 - Windows 7 6.1 x86 - Fuad
01:21:12 [INF] (Synphony.<clinit>:85) --- Tue Feb 07 01:21:12 BRST 2012 - Synphony 0.0.1 - JRE 1.7.0_01 - Windows 7 6.1 x86 - Fuad
01:22:08 [INF] (Synphony.<clinit>:85) --- Tue Feb 07 01:22:08 BRST 2012 - Synphony 0.0.1 - JRE 1.7.0_01 - Windows 7 6.1 x86 - Fuad
01:23:26 [INF] (Synphony.<clinit>:85) --- Tue Feb 07 01:23:26 BRST 2012 - Synphony 0.0.1 - JRE 1.7.0_01 - Windows 7 6.1 x86 - Fuad
00:52:53 [INF] (Synphony.<clinit>:85) --- Wed Feb 08 00:52:53 BRST 2012 - Synphony 0.0.1 - JRE 1.7.0_01 - Windows 7 6.1 x86 - Fuad
00:54:08 [INF] (Synphony.<clinit>:85) --- Wed Feb 08 00:54:08 BRST 2012 - Synphony 0.0.1 - JRE 1.7.0_01 - Windows 7 6.1 x86 - Fuad
00:54:14 [INF] (Synphony.<clinit>:85) --- Wed Feb 08 00:54:14 BRST 2012 - Synphony 0.0.1 - JRE 1.7.0_01 - Windows 7 6.1 x86 - Fuad
00:55:56 [INF] (Synphony.<clinit>:85) --- Wed Feb 08 00:55:56 BRST 2012 - Synphony 0.0.1 - JRE 1.7.0_01 - Windows 7 6.1 x86 - Fuad
00:55:58 [INF] (Synchronizer.sync:58) Syncing... (FROM: D:\zsynctarget TO: D:\zsyncsource)
00:55:58 [INF] (CopyFileVisitor.<init>:41) Source dir: D:\zsynctarget Target dir: D:\zsyncsource
00:55:58 [DBG] (CopyFileVisitor.preVisitDirectory:49) Incoming dir: 
00:55:58 [DBG] (CopyFileVisitor.preVisitDirectory:49) Incoming dir: dabr
00:55:58 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: dabr\.htaccess
00:55:58 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: dabr\.project
00:55:58 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: dabr\about.html
00:55:58 [DBG] (CopyFileVisitor.preVisitDirectory:49) Incoming dir: dabr\browsers
00:55:58 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: dabr\browsers\bigtouch.css
00:55:58 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: dabr\browsers\bigtouch.php
00:55:58 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: dabr\browsers\blackberry.php
00:55:58 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: dabr\browsers\desktop.php
00:55:58 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: dabr\browsers\list.csv
00:55:58 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: dabr\browsers\text.php
00:55:58 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: dabr\browsers\touch.css
00:55:58 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: dabr\browsers\touch.js
00:55:58 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: dabr\browsers\touch.php
00:55:58 [INF] (CopyFileVisitor.visitFile:72) Entry skipped: dabr\browsers\worksafe.php
00:55:58 [DBG] (CopyFileVisitor.preVisitDirectory:49) Incoming dir: dabr\common
